place_id,destination_id,travel_type_id,place_name,latitude,longitude,entry_fee,avg_time_minutes,verified_latitude,verified_longitude,distance_meters,updated
1,1,4,Charminar,17.389,78.4907,0,50,17.3616024,78.4746421,3479.4083839200534,True
2,1,4,Golconda Fort,17.393,78.4947,0,55,17.3833665,78.4010991,10003.402092077577,True
3,1,4,Salar Jung Museum,17.397,78.4987,20,60,17.371392,78.4801498,3452.2680597410395,True
4,1,1,Hussain Sagar Lake,17.401,78.5027,0,65,17.4229113,78.475421,3779.0756461791766,True
5,1,4,Birla Mandir,17.405,78.5067,0,70,17.4056977,78.4692594,3978.9728375786913,True
6,1,4,Qutb Shahi Tombs,17.409,78.5107,20,75,17.3973713,78.4001622,11815.551837350877,True
7,1,1,Lumbini Park,17.413,78.5147,0,80,17.4097139,78.4728234,4464.260676024032,True
8,1,4,Ramoji Film City,17.417,78.5187,0,85,17.2521371,78.6798167,25024.147861528865,True
9,1,5,Jubilee Hills Cafes,17.421,78.5227,20,90,,,,False
10,1,5,Tank Bund Night View,17.425,78.5267,0,95,,,,False
11,2,4,Warangal Fort,17.9729,79.5981,0,50,17.9564946,79.6154251,2581.63293398747,True
12,2,4,Thousand Pillar Temple,17.9769,79.6021,0,55,,,,False
13,2,4,Bhadrakali Temple,17.9809,79.6061,20,60,,,,False
14,2,1,Bhadrakali Lake,17.9849,79.6101,0,65,17.9899811,79.5801374,3222.858920173233,True
15,2,4,Ramappa Temple,17.9889,79.6141,0,70,,,,False
16,2,1,Pakhal Lake,17.9929,79.6181,20,75,17.9557143,79.9972892,40374.15408404415,True
17,2,1,Laknavaram Lake,17.9969,79.6221,0,80,,,,False
18,2,1,Ekashila Rock Garden,18.0009,79.6261,0,85,,,,False
19,2,1,Kakatiya Musical Garden,18.0049,79.6301,20,90,,,,False
20,2,5,Warangal Night Food Street,18.0089,79.6341,0,95,,,,False
21,3,4,Nizamabad Fort,18.6765,78.0981,0,50,,,,False
22,3,1,Ali Sagar Reservoir,18.6805,78.1021,0,55,,,,False
23,3,4,Kanteshwar Temple,18.6845,78.1061,20,60,18.6857834,78.1144027,887.2848330858612,False
24,3,1,Nizam Sagar Dam,18.6885,78.1101,0,65,,,,False
25,3,1,Pocharam Wildlife Sanctuary,18.6925,78.1141,0,70,,,,False
26,3,1,Ashok Sagar Lake,18.6965,78.1181,20,75,,,,False
27,3,4,Armoor Jain Temple,18.7005,78.1221,0,80,,,,False
28,3,4,Local Heritage Streets,18.7045,78.1261,0,85,,,,False
29,3,1,City Central Park,18.7085,78.1301,20,90,,,,False
30,3,5,Nizamabad Night Market,18.7125,78.1341,0,95,,,,False
31,4,4,Elgandal Fort,18.4426,79.1328,0,50,18.4204183,79.0413956,9963.599474147579,True
32,4,1,Lower Manair Dam,18.4466,79.1368,0,55,,,,False
33,4,1,Rajiv Gandhi Deer Park,18.4506,79.1408,20,60,,,,False
34,4,4,Vemulawada Temple,18.4546,79.1448,0,65,,,,False
35,4,1,Ujjwala Park,18.4586,79.1488,0,70,,,,False
36,4,4,Archaeological Museum,18.4626,79.1528,20,75,,,,False
37,4,1,River Walk Area,18.4666,79.1568,0,80,,,,False
38,4,1,Boat Club Area,18.4706,79.1608,0,85,,,,False
39,4,5,Evening Food Street,18.4746,79.1648,20,90,,,,False
40,4,4,Handicrafts Market,18.4786,79.1688,0,95,,,,False
41,5,4,Khammam Fort,17.2513,80.1554,0,50,17.2463471,80.1453806,1198.235734333866,True
42,5,1,Lakaram Lake,17.2553,80.1594,0,55,17.248108,80.1586965,799.4611516315601,False
43,5,1,Papi Hills View,17.2593,80.1634,20,60,,,,False
44,5,1,Kinnerasani Sanctuary,17.2633,80.1674,0,65,,,,False
45,5,4,Sri Venkateswara Temple,17.2673,80.1714,0,70,,,,False
46,5,1,River Boating Area,17.2713,80.1754,20,75,,,,False
47,5,1,Forest View Point,17.2753,80.1794,0,80,,,,False
48,5,4,Local Museum,17.2793,80.1834,0,85,,,,False
49,5,5,Night Food Street,17.2833,80.1874,20,90,,,,False
50,5,4,Historic Town Area,17.2873,80.1914,0,95,,,,False
51,6,1,Kuntala Waterfalls,19.0844,78.3478,0,50,,,,False
52,6,1,Pochera Waterfalls,19.0884,78.3518,0,55,,,,False
53,6,1,Kawal Tiger Reserve,19.0924,78.3558,20,60,19.2083404,78.8714452,55741.8714316424,True
54,6,4,Basar Saraswati Temple,19.0964,78.3598,0,65,,,,False
55,6,1,Godavari River View,19.1004,78.3638,0,70,,,,False
56,6,2,Forest Trek Route,19.1044,78.3678,20,75,,,,False
57,6,1,Hill View Point,19.1084,78.3718,0,80,,,,False
58,6,4,Tribal Museum,19.1124,78.3758,0,85,,,,False
59,6,1,Eco Park,19.1164,78.3798,20,90,,,,False
60,6,5,Local Evening Market,19.1204,78.3838,0,95,,,,False
61,7,4,Medak Cathedral,18.0493,78.2687,0,50,,,,False
62,7,4,Medak Fort Hill,18.0533,78.2727,0,55,,,,False
63,7,1,Pocharam Sanctuary,18.0573,78.2767,20,60,,,,False
64,7,4,Edupayala Temple,18.0613,78.2807,0,65,,,,False
65,7,1,Lake View Point,18.0653,78.2847,0,70,,,,False
66,7,4,Heritage Streets,18.0693,78.2887,20,75,,,,False
67,7,1,Boating Spot,18.0733,78.2927,0,80,,,,False
68,7,1,Sunset View Point,18.0773,78.2967,0,85,,,,False
69,7,5,Night Food Area,18.0813,78.3007,20,90,,,,False
70,7,4,Ancient Rock Formations,18.0853,78.3047,0,95,,,,False
71,8,4,Gadwal Fort,16.7479,77.9896,0,50,,,,False
72,8,1,Koilsagar Reservoir,16.7519,77.9936,0,55,16.7331015,77.7704021,23890.381106627407,True
73,8,1,Jurala Dam,16.7559,77.9976,20,60,,,,False
74,8,4,Pillalamarri Banyan Tree,16.7599,78.0016,0,65,,,,False
75,8,4,Local Museum,16.7639,78.0056,0,70,,,,False
76,8,1,Nature Park,16.7679,78.0096,20,75,,,,False
77,8,4,Ancient Temple Area,16.7719,78.0136,0,80,,,,False
78,8,5,Evening Food Street,16.7759,78.0176,0,85,,,,False
79,8,1,River View Area,16.7799,78.0216,20,90,,,,False
80,8,4,Handloom Market,16.7839,78.0256,0,95,,,,False
81,9,4,Bhongir Fort,17.0615,79.2724,0,50,,,,False
82,9,4,Panagal Jain Temple,17.0655,79.2764,0,55,,,,False
83,9,1,Nagarjuna Sagar Dam,17.0695,79.2804,20,60,,,,False
84,9,1,Ethipothala Waterfalls,17.0735,79.2844,0,65,,,,False
85,9,4,Buddhist Museum,17.0775,79.2884,0,70,,,,False
86,9,1,Hill View Point,17.0815,79.2924,20,75,,,,False
87,9,1,River View Area,17.0855,79.2964,0,80,,,,False
88,9,4,Heritage Street Walk,17.0895,79.3004,0,85,,,,False
89,9,1,Sunset Point,17.0935,79.3044,20,90,,,,False
90,9,5,Local Evening Market,17.0975,79.3084,0,95,,,,False
91,10,1,Singur Dam,17.6288,78.0906,0,50,17.7472389,77.9255597,21872.325749890675,True
92,10,1,Manjeera Sanctuary,17.6328,78.0946,0,55,17.6510314,78.0727893,3070.5484268134996,True
93,10,1,Lake View Park,17.6368,78.0986,20,60,,,,False
94,10,4,Heritage Temple Area,17.6408,78.1026,0,65,,,,False
95,10,4,Old Fort Ruins,17.6448,78.1066,0,70,,,,False
96,10,1,Nature Walk Trail,17.6488,78.1106,20,75,,,,False
97,10,1,Sunset Point,17.6528,78.1146,0,80,,,,False
98,10,4,Local Museum,17.6568,78.1186,0,85,,,,False
99,10,5,Night Food Area,17.6608,78.1226,20,90,,,,False
100,10,4,Town Heritage Streets,17.6648,78.1266,0,95,,,,False
101,11,1,Ananthagiri Hills,17.342,77.9084,0,50,17.3228329,77.8618594,5382.7100139003305,True
102,11,1,Kotepally Reservoir,17.346,77.9124,0,55,,,,False
103,11,4,Anantha Padmanabha Temple,17.35,77.9164,20,60,,,,False
104,11,2,Forest Trek Route,17.354,77.9204,0,65,,,,False
105,11,1,Sunrise View Point,17.358,77.9244,0,70,,,,False
106,11,1,River Side Camping Area,17.362,77.9284,20,75,,,,False
107,11,1,Nature Park,17.366,77.9324,0,80,,,,False
108,11,1,Hill Top View,17.37,77.9364,0,85,,,,False
109,11,5,Evening Cafes,17.374,77.9404,20,90,,,,False
110,11,4,Local Market,17.378,77.9444,0,95,,,,False
111,12,1,Pranahita River View,18.8766,79.4483,0,50,,,,False
112,12,1,Forest Walk Area,18.8806,79.4523,0,55,,,,False
113,12,4,Local Tribal Museum,18.8846,79.4563,20,60,,,,False
114,12,1,Eco Tourism Park,18.8886,79.4603,0,65,,,,False
115,12,1,River Side Camping,18.8926,79.4643,0,70,,,,False
116,12,1,Nature View Point,18.8966,79.4683,20,75,,,,False
117,12,4,Temple Area,18.9006,79.4723,0,80,18.8602811,79.4794817,4526.623040546194,True
118,12,4,Heritage Streets,18.9046,79.4763,0,85,,,,False
119,12,5,Local Night Market,18.9086,79.4803,20,90,,,,False
120,12,1,Sunset View Point,18.9126,79.4843,0,95,,,,False
121,13,4,Jagtial Fort,18.7987,78.9201,0,50,,,,False
122,13,1,Sri Ram Sagar Project,18.8027,78.9241,0,55,,,,False
123,13,4,Anjaneya Temple,18.8067,78.9281,20,60,18.789237,78.916683,2277.048333644505,True
124,13,1,River View Point,18.8107,78.9321,0,65,,,,False
125,13,1,Nature Park,18.8147,78.9361,0,70,,,,False
126,13,4,Temple Street Area,18.8187,78.9401,20,75,,,,False
127,13,4,Local Museum,18.8227,78.9441,0,80,,,,False
128,13,1,Sunset Point,18.8267,78.9481,0,85,,,,False
129,13,5,Evening Food Street,18.8307,78.9521,20,90,,,,False
130,13,4,Handloom Market,18.8347,78.9561,0,95,,,,False
131,14,4,Bhadrachalam Temple,17.6724,80.8928,0,50,,,,False
132,14,1,Godavari River Cruise,17.6764,80.8968,0,55,,,,False
133,14,1,Papi Hills,17.6804,80.9008,20,60,,,,False
134,14,1,Ramappa Ghat,17.6844,80.9048,0,65,,,,False
135,14,4,Museum of Tribal Culture,17.6884,80.9088,0,70,,,,False
136,14,1,River Side Walk,17.6924,80.9128,20,75,,,,False
137,14,1,Nature View Point,17.6964,80.9168,0,80,,,,False
138,14,4,Heritage Streets,17.7004,80.9208,0,85,,,,False
139,14,5,Night Market,17.7044,80.9248,20,90,,,,False
140,14,1,Sunrise View Point,17.7084,80.9288,0,95,,,,False
141,15,1,Komati Cheruvu,18.1059,78.856,0,50,18.0924015,78.8368231,2520.355434795895,True
142,15,4,Siddipet Fort Area,18.1099,78.86,0,55,,,,False
143,15,4,Local Temple,18.1139,78.864,20,60,,,,False
144,15,1,Nature Park,18.1179,78.868,0,65,,,,False
145,15,1,Sunset Point,18.1219,78.872,0,70,,,,False
146,15,1,River Side Walk,18.1259,78.876,20,75,,,,False
147,15,4,Handloom Market,18.1299,78.88,0,80,,,,False
148,15,5,Evening Food Street,18.1339,78.884,0,85,,,,False
149,15,1,Boating Area,18.1379,78.888,20,90,,,,False
150,15,4,Heritage Streets,18.1419,78.892,0,95,,,,False
151,16,4,Yadadri Temple,17.5893,78.9475,0,50,,,,False
152,16,1,Hill Top View Point,17.5933,78.9515,0,55,,,,False
153,16,1,Temple Gardens,17.5973,78.9555,20,60,17.3526167,78.3904931,65838.60919045036,True
154,16,1,Sunrise Point,17.6013,78.9595,0,65,17.585317,78.950576,2006.5839227121448,True
155,16,4,Heritage Streets,17.6053,78.9635,0,70,,,,False
156,16,4,Local Museum,17.6093,78.9675,20,75,,,,False
157,16,1,Nature Walk Area,17.6133,78.9715,0,80,,,,False
158,16,5,Evening Cafes,17.6173,78.9755,0,85,,,,False
159,16,4,Spiritual Center,17.6213,78.9795,20,90,,,,False
160,16,4,Temple Market Area,17.6253,78.9835,0,95,,,,False
161,17,1,Kinnerasani Dam,17.5575,80.6236,0,50,,,,False
162,17,1,Kothagudem Lake,17.5615,80.6276,0,55,,,,False
163,17,1,Forest View Point,17.5655,80.6316,20,60,,,,False
164,17,1,Nature Park,17.5695,80.6356,0,65,,,,False
165,17,1,River Side Walk,17.5735,80.6396,0,70,,,,False
166,17,4,Local Museum,17.5775,80.6436,20,75,,,,False
167,17,4,Heritage Streets,17.5815,80.6476,0,80,,,,False
168,17,5,Evening Food Street,17.5855,80.6516,0,85,,,,False
169,17,1,Sunset Point,17.5895,80.6556,20,90,,,,False
170,17,1,Eco Tourism Area,17.5935,80.6596,0,95,,,,False
171,18,1,Medchal Lake,17.6337,78.485,0,50,17.5165931,78.3965197,16006.462140837488,True
172,18,4,Local Temple,17.6377,78.489,0,55,,,,False
173,18,1,Nature Park,17.6417,78.493,20,60,,,,False
174,18,1,Hill View Area,17.6457,78.497,0,65,,,,False
175,18,4,Heritage Streets,17.6497,78.501,0,70,,,,False
176,18,1,Sunset Point,17.6537,78.505,20,75,,,,False
177,18,4,Local Museum,17.6577,78.509,0,80,,,,False
178,18,5,Evening Cafes,17.6617,78.513,0,85,,,,False
179,18,1,Lake Side Walk,17.6657,78.517,20,90,,,,False
180,18,4,Town Market Area,17.6697,78.521,0,95,,,,False
181,19,1,Kawal Forest Area,19.362,79.289,0,50,,,,False
182,19,4,Tribal Village Walk,19.366,79.293,0,55,,,,False
183,19,1,Waterfall View Point,19.37,79.297,20,60,,,,False
184,19,2,Forest Trek Route,19.374,79.301,0,65,,,,False
185,19,1,River Side Walk,19.378,79.305,0,70,,,,False
186,19,1,Nature Park,19.382,79.309,20,75,,,,False
187,19,4,Local Museum,19.386,79.313,0,80,,,,False
188,19,1,Sunset Point,19.39,79.317,0,85,,,,False
189,19,5,Evening Market,19.394,79.321,20,90,,,,False
190,19,1,Eco Tourism Area,19.398,79.325,0,95,,,,False
191,20,4,Narayanpet Fort,16.8664,77.4334,0,50,,,,False
192,20,4,Handloom Weaving Center,16.8704,77.4374,0,55,,,,False
193,20,4,Local Temple,16.8744,77.4414,20,60,,,,False
194,20,1,River View Area,16.8784,77.4454,0,65,,,,False
195,20,1,Nature Park,16.8824,77.4494,0,70,,,,False
196,20,4,Heritage Streets,16.8864,77.4534,20,75,,,,False
197,20,1,Sunset Point,16.8904,77.4574,0,80,,,,False
198,20,4,Local Museum,16.8944,77.4614,0,85,,,,False
199,20,5,Evening Food Street,16.8984,77.4654,20,90,,,,False
200,20,4,Town Market Area,16.9024,77.4694,0,95,,,,False
